color_name,hex,R,G,B
Black,#000000,0,0,0
White,#FFFFFF,255,255,255
Red,#FF0000,255,0,0
Lime,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
Silver,#C0C0C0,192,192,192
Gray,#808080,128,128,128
Maroon,#800000,128,0,0
Olive,#808000,128,128,0
Green,#008000,0,128,0
Purple,#800080,128,0,128
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Orange,#FFA500,255,165,0
Pink,#FFC0CB,255,192,203
Brown,#A52A2A,165,42,42
Gold,#FFD700,255,215,0
Indigo,#4B0082,75,0,130
Violet,#EE82EE,238,130,238
Coral,#FF7F50,255,127,80
Turquoise,#40E0D0,64,224,208
Beige,#F5F5DC,245,245,220
Ivory,#FFFFF0,255,255,240
Khaki,#F0E68C,240,230,140
Lavender,#E6E6FA,230,230,250
Salmon,#FA8072,250,128,114
SkyBlue,#87CEEB,135,206,235
Tan,#D2B48C,210,180,140
Thistle,#D8BFD8,216,191,216
Tomato,#FF6347,255,99,71
Wheat,#F5DEB3,245,222,179
Azure,#F0FFFF,240,255,255
MintCream,#F5FFFA,245,255,250
HoneyDew,#F0FFF0,240,255,240
AliceBlue,#F0F8FF,240,248,255
SeaGreen,#2E8B57,46,139,87
SlateBlue,#6A5ACD,106,90,205
RoyalBlue,#4169E1,65,105,225
SteelBlue,#4682B4,70,130,180
DarkOrange,#FF8C00,255,140,0
DeepPink,#FF1493,255,20,147
MediumVioletRed,#C71585,199,21,133
LightSeaGreen,#20B2AA,32,178,170
DarkSlateGray,#2F4F4F,47,79,79
PaleGreen,#98FB98,152,251,152
MediumOrchid,#BA55D3,186,85,211
DarkKhaki,#BDB76B,189,183,107
